invoice_ref,merchant_id,billed_amount,currency,issue_date,due_date,status
INV213AA4C2,MERCH017,3297.15,INR,2026-08-22 03:40:21.388948,2026-09-06 03:40:21.388948,PAID
INV41E49D21,MERCH019,12652.57,INR,2026-08-17 13:37:21.388961,2026-09-01 13:37:21.388961,PAID
INVB74616BF,MERCH003,5593.26,INR,2026-08-21 21:26:21.388972,2026-09-05 21:26:21.388972,DISPUTED
INV5CD229EB,MERCH007,11200.35,INR,2026-08-07 08:55:21.388983,2026-08-22 08:55:21.388983,DISPUTED
INVD2D5EE2F,MERCH008,1864.07,INR,2026-08-18 10:35:21.388994,2026-09-02 10:35:21.388994,PAID
INVDBD77A5C,MERCH014,2483.64,INR,2026-08-10 22:46:21.389004,2026-08-25 22:46:21.389004,OPEN
INV2B54DED9,MERCH002,766.22,INR,2026-07-28 10:26:21.389014,2026-08-12 10:26:21.389014,PAID
INVF9D876D4,MERCH018,9753.81,INR,2026-08-10 09:14:21.389025,2026-08-25 09:14:21.389025,PAID
INVA9E42202,MERCH015,9927.43,INR,2026-08-09 20:35:21.389035,2026-08-24 20:35:21.389035,OPEN
INV84F7FD34,MERCH003,6013.38,INR,2026-07-26 06:31:21.389047,2026-08-10 06:31:21.389047,DISPUTED
INVB0F9030D,MERCH016,8689.79,INR,2026-08-23 08:17:21.389062,2026-09-07 08:17:21.389062,DISPUTED
INV91132814,MERCH009,7596.98,INR,2026-07-25 23:23:21.389072,2026-08-09 23:23:21.389072,DISPUTED
INVB61EE2BB,MERCH005,11612.09,INR,2026-08-22 18:54:21.389096,2026-09-06 18:54:21.389096,OPEN
INV50B925F4,MERCH011,4028.85,INR,2026-08-23 12:04:21.389114,2026-09-07 12:04:21.389114,PAID
INVF8C5AFAA,MERCH002,913.94,INR,2026-08-19 11:03:21.389130,2026-09-03 11:03:21.389130,PAID
INV2AA676E9,MERCH013,871.54,INR,2026-08-20 19:26:21.389141,2026-09-04 19:26:21.389141,OPEN
INVE93AA1F4,MERCH020,707.76,INR,2026-08-05 21:21:21.389151,2026-08-20 21:21:21.389151,PAID
INV4E146D5B,MERCH011,4067.21,INR,2026-08-17 05:16:21.389162,2026-09-01 05:16:21.389162,PAID
INV1B99BD91,MERCH015,8919.49,INR,2026-08-22 13:12:21.389173,2026-09-06 13:12:21.389173,OPEN
INVE035166F,MERCH003,5516.11,INR,2026-08-07 07:09:21.389184,2026-08-22 07:09:21.389184,PAID
INVD07A3272,MERCH012,9596.63,INR,2026-08-13 04:31:21.389195,2026-08-28 04:31:21.389195,PAID
INV259AFA81,MERCH020,469.49,INR,2026-07-29 17:08:21.389205,2026-08-13 17:08:21.389205,PAID
INV0D57835C,MERCH004,4015.67,INR,2026-08-21 09:54:21.389215,2026-09-05 09:54:21.389215,PAID
INV62A14743,MERCH009,6418.29,INR,2026-08-14 18:28:21.389226,2026-08-29 18:28:21.389226,PAID
INV09432271,MERCH009,5863.37,INR,2026-07-26 12:36:21.389236,2026-08-10 12:36:21.389236,PAID
INV0569F1C0,MERCH002,859.31,INR,2026-08-24 02:52:21.389249,2026-09-08 02:52:21.389249,PAID
INV6F69D39A,MERCH006,10204.24,INR,2026-08-10 20:41:21.389262,2026-08-25 20:41:21.389262,OPEN
INVEBC37C0B,MERCH005,9058.04,INR,2026-08-07 11:48:21.389274,2026-08-22 11:48:21.389274,PAID
INV7BF9F3AC,MERCH014,3686.45,INR,2026-07-27 11:44:21.389285,2026-08-11 11:44:21.389285,PAID
INVE00CB60A,MERCH008,1923.38,INR,2026-08-03 10:19:21.389298,2026-08-18 10:19:21.389298,DISPUTED
INV2604DEEB,MERCH020,593.56,INR,2026-08-17 07:50:21.389308,2026-09-01 07:50:21.389308,DISPUTED
INVFB0C7EEC,MERCH001,6428.95,INR,2026-08-18 13:42:21.389319,2026-09-02 13:42:21.389319,DISPUTED
INVAF66365A,MERCH008,1711.63,INR,2026-08-21 00:46:21.389329,2026-09-05 00:46:21.389329,DISPUTED
INVE547AD63,MERCH008,2222.74,INR,2026-08-17 23:19:21.389340,2026-09-01 23:19:21.389340,PAID
INVE73BB856,MERCH008,1931.72,INR,2026-08-14 04:46:21.389360,2026-08-29 04:46:21.389360,PAID
INV32E648B1,MERCH012,7941.6,INR,2026-08-03 21:16:21.389379,2026-08-18 21:16:21.389379,PAID
INV92A92884,MERCH001,12683.4,INR,2026-08-18 19:25:21.389435,2026-09-02 19:25:21.389435,OPEN
INVD82534A5,MERCH020,751.01,INR,2026-08-11 01:55:21.389449,2026-08-26 01:55:21.389449,DISPUTED
INVB5946B46,MERCH020,638.21,INR,2026-07-26 19:29:21.389460,2026-08-10 19:29:21.389460,OPEN
INV0B34BF2A,MERCH014,3358.27,INR,2026-08-23 20:42:21.389476,2026-09-07 20:42:21.389476,PAID
INVB98DB9EE,MERCH012,5226.99,INR,2026-07-26 03:02:21.389488,2026-08-10 03:02:21.389488,OPEN
INV7281A969,MERCH010,1074.71,INR,2026-08-08 03:59:21.389500,2026-08-23 03:59:21.389500,PAID
INV719310DD,MERCH013,829.82,INR,2026-08-17 23:59:21.389511,2026-09-01 23:59:21.389511,PAID
INVF151C379,MERCH020,487.07,INR,2026-08-06 04:16:21.389521,2026-08-21 04:16:21.389521,OPEN
INV2AD4DFFB,MERCH010,897.99,INR,2026-08-05 18:00:21.389531,2026-08-20 18:00:21.389531,DISPUTED
INV903FC59E,MERCH015,11459.05,INR,2026-08-09 16:28:21.389541,2026-08-24 16:28:21.389541,DISPUTED
INV01832582,MERCH006,9627.27,INR,2026-08-02 17:02:21.389552,2026-08-17 17:02:21.389552,OPEN
INV149A8B6E,MERCH008,1579.27,INR,2026-08-03 04:27:21.389562,2026-08-18 04:27:21.389562,PAID
INV40D7421E,MERCH001,13808.52,INR,2026-08-05 11:12:21.389573,2026-08-20 11:12:21.389573,PAID
INVF7E09741,MERCH013,993.99,INR,2026-08-09 01:26:21.389586,2026-08-24 01:26:21.389586,OPEN
INV8ED445C2,MERCH004,3806.52,INR,2026-07-29 15:08:21.389597,2026-08-13 15:08:21.389597,OPEN
INV20F045B8,MERCH018,8106.03,INR,2026-08-17 10:12:21.389609,2026-09-01 10:12:21.389609,DISPUTED
INVDD937285,MERCH017,4440.17,INR,2026-07-24 23:02:21.389619,2026-08-08 23:02:21.389619,DISPUTED
INVB34EFB37,MERCH018,8905.64,INR,2026-08-10 07:54:21.389630,2026-08-25 07:54:21.389630,DISPUTED
INV4F7947C0,MERCH009,6639.08,INR,2026-08-15 21:10:21.389640,2026-08-30 21:10:21.389640,PAID
INV6BA59381,MERCH015,7074.49,INR,2026-08-21 15:23:21.389650,2026-09-05 15:23:21.389650,PAID
INV14F4FA06,MERCH011,3379.2,INR,2026-08-20 09:27:21.389661,2026-09-04 09:27:21.389661,PAID
INVDAFC46FE,MERCH007,15711.73,INR,2026-08-22 00:15:21.389673,2026-09-06 00:15:21.389673,DISPUTED
INV1D4E57C4,MERCH014,4270.56,INR,2026-08-11 18:57:21.389705,2026-08-26 18:57:21.389705,DISPUTED
INVB6C2A793,MERCH016,9310.69,INR,2026-08-24 02:22:21.389734,2026-09-08 02:22:21.389734,DISPUTED
INV47B25E00,MERCH018,9017.74,INR,2026-08-05 06:10:21.389752,2026-08-20 06:10:21.389752,PAID
INV643C6334,MERCH014,2745.36,INR,2026-08-09 13:17:21.389767,2026-08-24 13:17:21.389767,DISPUTED
INVC9492705,MERCH006,12182.17,INR,2026-08-04 20:40:21.389784,2026-08-19 20:40:21.389784,OPEN
INVDF037BE6,MERCH003,3214.46,INR,2026-08-04 00:33:21.389799,2026-08-19 00:33:21.389799,PAID
INV3C93AADD,MERCH002,855.31,INR,2026-08-10 03:20:21.389815,2026-08-25 03:20:21.389815,PAID
INV6DE5ED36,MERCH014,3834.15,INR,2026-08-16 11:11:21.389831,2026-08-31 11:11:21.389831,OPEN
INV8DCE73B9,MERCH012,7899.04,INR,2026-07-24 17:39:21.389846,2026-08-08 17:39:21.389846,PAID
INV3A01A79D,MERCH007,14186.61,INR,2026-07-29 13:02:21.389874,2026-08-13 13:02:21.389874,PAID
INVBD1384DD,MERCH005,10363.69,INR,2026-07-25 07:12:21.389894,2026-08-09 07:12:21.389894,PAID
INV42DD8CBD,MERCH006,10438.22,INR,2026-08-04 17:54:21.389910,2026-08-19 17:54:21.389910,PAID
INV44EB11F6,MERCH010,956.87,INR,2026-08-14 18:58:21.389923,2026-08-29 18:58:21.389923,DISPUTED
INV9BC3DA0F,MERCH007,13725.39,INR,2026-08-21 18:57:21.389933,2026-09-05 18:57:21.389933,OPEN
INVD3BE01A7,MERCH010,1043.65,INR,2026-08-20 18:51:21.389944,2026-09-04 18:51:21.389944,PAID
INV856EBDA9,MERCH018,7559.72,INR,2026-08-10 16:18:21.389957,2026-08-25 16:18:21.389957,PAID
INV0DCB3EE8,MERCH001,11367.37,INR,2026-08-21 00:18:21.389968,2026-09-05 00:18:21.389968,PAID
INVEE537658,MERCH014,2618.48,INR,2026-08-18 14:08:21.389989,2026-09-02 14:08:21.389989,DISPUTED
INV2B64242B,MERCH015,7706.04,INR,2026-08-16 02:47:21.390001,2026-08-31 02:47:21.390001,OPEN
INVE1DF4FB9,MERCH009,7251.43,INR,2026-07-26 23:26:21.390016,2026-08-10 23:26:21.390016,DISPUTED
INV16463984,MERCH011,4727.01,INR,2026-08-18 22:28:21.390030,2026-09-02 22:28:21.390030,PAID
INV870D6AE5,MERCH011,3862.91,INR,2026-08-15 17:57:21.390041,2026-08-30 17:57:21.390041,OPEN
INV452F31DC,MERCH017,3918.59,INR,2026-08-01 00:10:21.390052,2026-08-16 00:10:21.390052,PAID
INVB48C04CD,MERCH016,8230.72,INR,2026-08-03 15:10:21.390061,2026-08-18 15:10:21.390061,OPEN
INV7CA4AB75,MERCH003,4299.89,INR,2026-08-17 03:59:21.390074,2026-09-01 03:59:21.390074,PAID
INV31D3C884,MERCH016,9635.38,INR,2026-08-06 21:19:21.390104,2026-08-21 21:19:21.390104,PAID
INV6D62892B,MERCH012,7555.19,INR,2026-08-16 06:34:21.390132,2026-08-31 06:34:21.390132,PAID
INV96EE2ADF,MERCH004,3310.41,INR,2026-07-31 19:53:21.390144,2026-08-15 19:53:21.390144,PAID
INV30210BBD,MERCH007,13320.6,INR,2026-08-05 21:03:21.390156,2026-08-20 21:03:21.390156,OPEN
INV508FCCF1,MERCH007,11819.19,INR,2026-08-15 06:18:21.390166,2026-08-30 06:18:21.390166,PAID
INVAE4162C6,MERCH001,9572.86,INR,2026-08-23 12:06:21.390184,2026-09-07 12:06:21.390184,PAID
INV4EF6CDD0,MERCH016,7768.66,INR,2026-08-21 13:05:21.390205,2026-09-05 13:05:21.390205,DISPUTED
INVDE169081,MERCH016,7652.72,INR,2026-08-23 04:46:21.390217,2026-09-07 04:46:21.390217,OPEN
INV2A73614D,MERCH003,4644.96,INR,2026-08-11 22:37:21.390227,2026-08-26 22:37:21.390227,OPEN
INV801D1DC6,MERCH005,12455.54,INR,2026-08-15 11:26:21.390237,2026-08-30 11:26:21.390237,DISPUTED
INV80DF1557,MERCH020,686.66,INR,2026-08-04 18:27:21.390252,2026-08-19 18:27:21.390252,DISPUTED
INVBAE5E931,MERCH015,10972.83,INR,2026-08-06 00:22:21.390264,2026-08-21 00:22:21.390264,OPEN
INVFEC430B0,MERCH020,553.51,INR,2026-07-24 14:35:21.390281,2026-08-08 14:35:21.390281,PAID
INV6CE63D5F,MERCH009,6308.25,INR,2026-08-18 20:37:21.390293,2026-09-02 20:37:21.390293,OPEN
INV514036A2,MERCH014,3132.25,INR,2026-08-09 15:03:21.390305,2026-08-24 15:03:21.390305,PAID
INV69E6095F,MERCH002,886.2,INR,2026-08-01 23:37:21.390321,2026-08-16 23:37:21.390321,PAID
INV2E2568E7,MERCH019,15093.16,INR,2026-08-03 07:14:21.390331,2026-08-18 07:14:21.390331,PAID
INVE6D5976F,MERCH005,13812.38,INR,2026-08-22 12:31:21.390342,2026-09-06 12:31:21.390342,PAID
INV81A418D5,MERCH015,8406.79,INR,2026-08-20 22:57:21.390352,2026-09-04 22:57:21.390352,DISPUTED
INVBE459465,MERCH009,5459.52,INR,2026-08-21 18:39:21.390362,2026-09-05 18:39:21.390362,PAID
INVC4F1711B,MERCH020,593.92,INR,2026-08-16 13:36:21.390373,2026-08-31 13:36:21.390373,OPEN
INV3B8A7CD7,MERCH009,5122.8,INR,2026-08-18 22:08:21.390390,2026-09-02 22:08:21.390390,PAID
INVD35A0E4C,MERCH006,9102.04,INR,2026-08-06 00:01:21.390402,2026-08-21 00:01:21.390402,OPEN
INVA562FC5B,MERCH016,7746.44,INR,2026-08-03 09:47:21.390416,2026-08-18 09:47:21.390416,PAID
INV7C6FEAAB,MERCH014,3756.25,INR,2026-08-01 22:23:21.390430,2026-08-16 22:23:21.390430,OPEN
INVCCD2F30F,MERCH015,10889.27,INR,2026-08-21 00:46:21.390440,2026-09-05 00:46:21.390440,OPEN
INVE52773CA,MERCH018,9588.12,INR,2026-08-10 00:38:21.390455,2026-08-25 00:38:21.390455,PAID
INV96F67A74,MERCH020,599.29,INR,2026-07-31 12:28:21.390466,2026-08-15 12:28:21.390466,PAID
INVBDF54DFB,MERCH010,736.3,INR,2026-08-09 15:10:21.390481,2026-08-24 15:10:21.390481,OPEN
INV79A52D87,MERCH020,636.98,INR,2026-08-14 20:41:21.390493,2026-08-29 20:41:21.390493,DISPUTED
INVAE0B3A5E,MERCH003,3479.44,INR,2026-08-17 10:12:21.390503,2026-09-01 10:12:21.390503,PAID
INV8E9EAA95,MERCH016,9356.32,INR,2026-08-02 05:15:21.390513,2026-08-17 05:15:21.390513,DISPUTED
INV6ADC0BA5,MERCH008,1670.52,INR,2026-08-09 20:32:21.390523,2026-08-24 20:32:21.390523,PAID
INV1ABE0914,MERCH020,411.17,INR,2026-07-28 11:24:21.390533,2026-08-12 11:24:21.390533,PAID
INVAD26F75B,MERCH017,3637.37,INR,2026-08-16 13:23:21.390545,2026-08-31 13:23:21.390545,DISPUTED
INV9B5689AF,MERCH005,9356.76,INR,2026-08-13 19:53:21.390562,2026-08-28 19:53:21.390562,DISPUTED
INV8201DA29,MERCH015,10487.93,INR,2026-07-26 02:46:21.390573,2026-08-10 02:46:21.390573,PAID
INVFAAA4300,MERCH019,9556.75,INR,2026-08-11 12:21:21.390587,2026-08-26 12:21:21.390587,DISPUTED
INV56627833,MERCH013,1060.05,INR,2026-08-02 17:32:21.390597,2026-08-17 17:32:21.390597,OPEN
INV410F9501,MERCH005,8939.34,INR,2026-07-28 09:46:21.390613,2026-08-12 09:46:21.390613,OPEN
INVE7EAC37B,MERCH017,3685.73,INR,2026-07-25 23:41:21.390624,2026-08-09 23:41:21.390624,DISPUTED
INV7906A3AC,MERCH005,13786.18,INR,2026-08-16 03:02:21.390637,2026-08-31 03:02:21.390637,OPEN
INV267F0611,MERCH011,4105.27,INR,2026-07-27 15:47:21.390648,2026-08-11 15:47:21.390648,DISPUTED
INV4D180C43,MERCH011,2865.85,INR,2026-08-08 20:39:21.390664,2026-08-23 20:39:21.390664,OPEN
INV97B16D54,MERCH008,1365.92,INR,2026-08-03 15:43:21.390676,2026-08-18 15:43:21.390676,PAID
INV5AD46123,MERCH003,4207.45,INR,2026-08-03 14:46:21.390712,2026-08-18 14:46:21.390712,DISPUTED
INVDECF9463,MERCH006,10595.99,INR,2026-08-02 03:44:21.390740,2026-08-17 03:44:21.390740,OPEN
INV6289C8CA,MERCH011,3801.41,INR,2026-08-13 00:32:21.390758,2026-08-28 00:32:21.390758,DISPUTED
INVCD0862D1,MERCH019,10770.94,INR,2026-08-03 08:31:21.390775,2026-08-18 08:31:21.390775,OPEN
INV7C8B0B4A,MERCH020,679.55,INR,2026-08-16 21:43:21.390791,2026-08-31 21:43:21.390791,PAID
INV43DFD839,MERCH008,1494.24,INR,2026-08-09 17:25:21.390806,2026-08-24 17:25:21.390806,PAID
INV96D91862,MERCH001,11091.85,INR,2026-08-14 16:07:21.390822,2026-08-29 16:07:21.390822,OPEN
INVA3798370,MERCH015,8935.17,INR,2026-07-25 02:04:21.390837,2026-08-09 02:04:21.390837,DISPUTED
INV73C427B8,MERCH009,5806.66,INR,2026-08-11 22:35:21.390858,2026-08-26 22:35:21.390858,DISPUTED
INV494A7E51,MERCH019,12653.82,INR,2026-08-12 19:23:21.390874,2026-08-27 19:23:21.390874,OPEN
INV79560C61,MERCH013,858.5,INR,2026-08-02 14:38:21.390886,2026-08-17 14:38:21.390886,DISPUTED
INVA88D3D01,MERCH010,1110.55,INR,2026-07-31 06:03:21.390896,2026-08-15 06:03:21.390896,PAID
INV21914A58,MERCH007,11237.11,INR,2026-07-31 15:58:21.390907,2026-08-15 15:58:21.390907,OPEN
INV910C4521,MERCH002,728.55,INR,2026-08-14 23:39:21.390917,2026-08-29 23:39:21.390917,PAID
INVAFA5B114,MERCH005,12362.25,INR,2026-08-01 00:30:21.390927,2026-08-16 00:30:21.390927,PAID
INVD27BC839,MERCH018,9653.1,INR,2026-07-27 02:08:21.390942,2026-08-11 02:08:21.390942,PAID
INV651BE071,MERCH006,10185.77,INR,2026-08-09 03:54:21.390961,2026-08-24 03:54:21.390961,OPEN
INV03B534DD,MERCH015,12698.38,INR,2026-07-25 11:32:21.390973,2026-08-09 11:32:21.390973,DISPUTED
INV4B9704B0,MERCH018,7448.91,INR,2026-08-24 05:07:21.390986,2026-09-08 05:07:21.390986,DISPUTED
INV60A434A5,MERCH012,9378.59,INR,2026-08-02 13:58:21.390997,2026-08-17 13:58:21.390997,DISPUTED
INVA3A75401,MERCH012,8493.59,INR,2026-08-23 17:45:21.391010,2026-09-07 17:45:21.391010,PAID
INV04078316,MERCH020,635.18,INR,2026-08-16 17:37:21.391020,2026-08-31 17:37:21.391020,PAID
INVCCBD9D9F,MERCH014,3498.03,INR,2026-08-23 04:10:21.391031,2026-09-07 04:10:21.391031,OPEN
INV79417B98,MERCH008,1814.45,INR,2026-07-26 20:33:21.391041,2026-08-10 20:33:21.391041,DISPUTED
INVAC2DF35A,MERCH012,6900.21,INR,2026-07-24 20:15:21.391056,2026-08-08 20:15:21.391056,PAID
INV89E4A406,MERCH014,2648.71,INR,2026-08-04 09:48:21.391068,2026-08-19 09:48:21.391068,DISPUTED
INVB78C80D7,MERCH009,7552.88,INR,2026-08-09 23:26:21.391078,2026-08-24 23:26:21.391078,OPEN
INV432C8924,MERCH012,8058.25,INR,2026-08-06 17:19:21.391097,2026-08-21 17:19:21.391097,DISPUTED
INV9BA8714E,MERCH009,6804.97,INR,2026-07-27 23:36:21.391110,2026-08-11 23:36:21.391110,OPEN
INVDCF00916,MERCH002,924.04,INR,2026-07-30 03:26:21.391120,2026-08-14 03:26:21.391120,PAID
INVB8FA84C7,MERCH003,4899.31,INR,2026-08-06 06:49:21.391130,2026-08-21 06:49:21.391130,PAID
INVB6CEFAAC,MERCH005,9309.82,INR,2026-07-29 18:41:21.391140,2026-08-13 18:41:21.391140,PAID
INV94288057,MERCH005,8272.64,INR,2026-08-20 15:46:21.391150,2026-09-04 15:46:21.391150,PAID
INVA14C60D4,MERCH001,9115.76,INR,2026-08-13 06:04:21.391160,2026-08-28 06:04:21.391160,OPEN
INV0ED23E85,MERCH006,10234.5,INR,2026-08-10 21:34:21.391170,2026-08-25 21:34:21.391170,DISPUTED
INV845D5655,MERCH015,10694.72,INR,2026-07-31 02:09:21.391180,2026-08-15 02:09:21.391180,OPEN
INV6C4A2390,MERCH015,6334.64,INR,2026-08-22 13:51:21.391191,2026-09-06 13:51:21.391191,PAID
INV86A69561,MERCH015,9836.75,INR,2026-08-04 13:38:21.391200,2026-08-19 13:38:21.391200,DISPUTED
INVD69AE5F7,MERCH014,3152.91,INR,2026-07-25 23:37:21.391213,2026-08-09 23:37:21.391213,PAID
INVEAF19853,MERCH020,498.98,INR,2026-08-20 11:33:21.391223,2026-09-04 11:33:21.391223,PAID
INV8C706EAE,MERCH013,1047.89,INR,2026-08-09 21:03:21.391235,2026-08-24 21:03:21.391235,OPEN
INVCB700830,MERCH004,3713.29,INR,2026-07-27 17:00:21.391245,2026-08-11 17:00:21.391245,PAID
INVEDA9A424,MERCH014,3034.42,INR,2026-08-13 23:16:21.391256,2026-08-28 23:16:21.391256,OPEN
INV720A2F7C,MERCH011,3789.1,INR,2026-08-11 02:59:21.391266,2026-08-26 02:59:21.391266,PAID
INV2AD8374D,MERCH005,10443.67,INR,2026-08-22 11:36:21.391276,2026-09-06 11:36:21.391276,OPEN
INV04BAAA48,MERCH012,6599.72,INR,2026-07-30 09:06:21.391286,2026-08-14 09:06:21.391286,PAID
INVA583B929,MERCH004,2770.96,INR,2026-07-24 23:46:21.391296,2026-08-08 23:46:21.391296,PAID
INV7FACC4D8,MERCH020,690.59,INR,2026-08-15 02:35:21.391308,2026-08-30 02:35:21.391308,PAID
INV5B2ED83E,MERCH005,10517.99,INR,2026-08-21 01:47:21.391318,2026-09-05 01:47:21.391318,PAID
INVD9E4C45A,MERCH004,3403.78,INR,2026-07-31 05:05:21.391335,2026-08-15 05:05:21.391335,DISPUTED
INV313D2194,MERCH018,11518.4,INR,2026-08-04 16:00:21.391346,2026-08-19 16:00:21.391346,OPEN
INV82520B6E,MERCH020,568.01,INR,2026-07-25 15:48:21.391356,2026-08-09 15:48:21.391356,OPEN
INVB2590806,MERCH006,9930.07,INR,2026-07-26 03:19:21.391368,2026-08-10 03:19:21.391368,PAID
INVFC54C609,MERCH005,13991.4,INR,2026-08-05 16:16:21.391384,2026-08-20 16:16:21.391384,PAID
INV28EB54E2,MERCH001,11282.75,INR,2026-08-12 00:12:21.391397,2026-08-27 00:12:21.391397,PAID
INV0B5711F9,MERCH012,8614.7,INR,2026-08-14 14:21:21.391407,2026-08-29 14:21:21.391407,OPEN
INV3A8A6A3E,MERCH002,983.89,INR,2026-08-22 16:36:21.391420,2026-09-06 16:36:21.391420,DISPUTED
INV72B39E7B,MERCH014,4088.26,INR,2026-08-08 18:13:21.391432,2026-08-23 18:13:21.391432,PAID
INVD5C82554,MERCH007,13467.37,INR,2026-08-11 10:23:21.391442,2026-08-26 10:23:21.391442,DISPUTED
INV7E9E5EF2,MERCH017,3423.95,INR,2026-08-03 04:39:21.391453,2026-08-18 04:39:21.391453,DISPUTED
INVA034E637,MERCH020,650.98,INR,2026-07-25 06:52:21.391469,2026-08-09 06:52:21.391469,PAID
INVBB143554,MERCH010,963.97,INR,2026-08-14 10:41:21.391483,2026-08-29 10:41:21.391483,DISPUTED
INV9031A4B2,MERCH006,11625.16,INR,2026-08-16 21:06:21.391494,2026-08-31 21:06:21.391494,OPEN
INV0CACA53E,MERCH013,1003.51,INR,2026-07-27 14:39:21.391504,2026-08-11 14:39:21.391504,OPEN
INV1F8F994C,MERCH015,12530.22,INR,2026-08-06 00:05:21.391514,2026-08-21 00:05:21.391514,DISPUTED
INV7AF4A488,MERCH010,799.77,INR,2026-08-21 01:40:21.391524,2026-09-05 01:40:21.391524,PAID
INVEE3ECED5,MERCH020,462.15,INR,2026-08-13 11:14:21.391535,2026-08-28 11:14:21.391535,PAID
INV3B794B74,MERCH014,3575.74,INR,2026-08-06 01:08:21.391546,2026-08-21 01:08:21.391546,DISPUTED
INV41862065,MERCH010,929.45,INR,2026-07-31 08:37:21.391557,2026-08-15 08:37:21.391557,OPEN
INV9E0AB075,MERCH017,3304.09,INR,2026-08-08 06:44:21.391567,2026-08-23 06:44:21.391567,PAID
INVFF744CC3,MERCH005,11260.14,INR,2026-08-18 08:03:21.391577,2026-09-02 08:03:21.391577,OPEN
INV1AE72A56,MERCH006,11179.38,INR,2026-07-24 17:10:21.391590,2026-08-08 17:10:21.391590,DISPUTED
INV8F53D621,MERCH019,8881.3,INR,2026-08-13 17:21:21.391609,2026-08-28 17:21:21.391609,DISPUTED
INVD46A7A9E,MERCH003,2942.08,INR,2026-08-08 23:01:21.391619,2026-08-23 23:01:21.391619,PAID
INVB231B566,MERCH019,14286.19,INR,2026-08-14 23:13:21.391630,2026-08-29 23:13:21.391630,OPEN
INVA1FC05B4,MERCH012,8310.58,INR,2026-07-29 04:37:21.391639,2026-08-13 04:37:21.391639,DISPUTED
INV1D186C38,MERCH015,6687.44,INR,2026-08-01 12:13:21.391655,2026-08-16 12:13:21.391655,PAID
INV06D97486,MERCH011,3009.06,INR,2026-08-04 22:09:21.391669,2026-08-19 22:09:21.391669,OPEN
INVBE17BD3E,MERCH015,12460.8,INR,2026-08-13 15:36:21.391706,2026-08-28 15:36:21.391706,PAID
INVE4379D00,MERCH002,1030.46,INR,2026-08-16 15:13:21.391738,2026-08-31 15:13:21.391738,PAID
